6.5,1.3,6.1,4.633333333
5.8,2,5.8,4.533333333
4.3,4.8,5.6,4.9
1.9,7.3,7.6,5.6
3.5,5.8,5.8,5.033333333
5.2,5.3,4.7,5.066666667
3.1,5.1,6.8,5
3.7,1.8,8.2,4.566666667
4.7,2.3,7.1,4.7
4,2.2,6.2,4.133333333
3.5,3.3,5.4,4.066666667
3.5,2.5,5.8,3.933333333
4.1,2,5.7,3.933333333
2.4,3.7,7,4.366666667
2.7,3.3,8.6,4.866666667
1.5,6.3,7,4.933333333
4.3,9.2,3,5.5
6.1,8,3.1,5.733333333
4.7,9,5.9,6.533333333
3.3,6.9,8.4,6.2
6.2,5.6,8.7,6.833333333
9.8,6.1,8.1,8
7.5,7.4,7.6,7.5
7.1,9.6,9.1,8.6
8.6,7.2,9.6,8.466666667
9.5,6.9,10.3,8.9
9.7,5.9,8.8,8.133333333
8.6,4.8,7.6,7
5.4,3.4,7.9,5.566666667
4.8,1.5,7.1,4.466666667
4.2,2.9,7.5,4.866666667
5.7,5.5,8.1,6.433333333
3.7,7.3,5.8,5.6
3.4,8.6,6.4,6.133333333
5.9,4.9,8,6.266666667
7.5,4.8,8.5,6.933333333
3.4,7.2,11.8,7.466666667
4.1,5.7,8.3,6.033333333
6.2,3.8,4.7,4.9
7.9,4,6.8,6.233333333
10.3,6.4,6.1,7.6
9.4,3.2,4.8,5.8
6.9,2.7,6.6,5.4
7,4,8.4,6.466666667
8.1,5.7,9.1,7.633333333
10.3,10.3,7.4,9.333333333
12.4,12.7,6,10.36666667
10.4,12.8,4.7,9.3
7.3,12.2,3.9,7.8
10.1,8.5,4.7,7.766666667
12.5,9.4,6.2,9.366666667
13.8,11.3,6.4,10.5
13.7,9.5,3.8,9
8.5,7.3,5.1,6.966666667
9.9,8.1,6.5,8.166666667
13.6,7.1,10.3,10.33333333
11.8,7.7,8.6,9.366666667
14.9,9.8,4.2,9.633333333
14.6,9.6,6.9,10.36666667
11,10.3,5.7,9
11.2,10.4,6.6,9.4
16.6,9.9,8.7,11.73333333
15.4,11.4,11.9,12.9
13.7,12.1,16.2,14
15.2,6.4,17.1,12.9
14.7,11,15.9,13.86666667
13.2,16.5,10.8,13.5
14.1,15.3,10.2,13.2
